ProductID, ProductName, ProductStock, Price, Discount, Category_CategoryID
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",11,825.174,15,1
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",12,241.96,15,1
FUR-BO-10000362,Sauder Inglewood Library Bookcases,17,136.784,30,1
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,28,48.58,10,1
FUR-BO-10000711,"Hon Metal Bookcases, Gray",15,212.94,15,1
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,29,301.47,15,1
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,37,102.833,30,1
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,29,87.21,20,1
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",4,90.882,20,1
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",12,89.0664,20,1
FUR-BO-10001608,"Hon Metal Bookcases, Black",39,127.764,30,1
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,8,84.98,20,1
FUR-BO-10001798,Bush Somerset Collection Bookcase,15,130.98,30,1
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",34,180.588,30,1
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",12,257.568,15,1
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,41,72.588,20,1
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",4,72.294,20,1
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",2,119.833,30,1
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",49,359.499,15,1
FUR-BO-10002268,Sauder Barrister Bookcases,19,145.764,30,1
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",41,521.96,15,1
FUR-BO-10002598,"Hon Metal Bookcases, Putty",25,113.568,30,1
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",35,449.568,15,1
FUR-BO-10002824,Bush Mission Pointe Library,8,205.3328,15,1
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,11,81.94,20,1
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",18,170.98,30,1
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",24,183.372,30,1
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",25,156.3728,30,1
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,28,176.784,30,1
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",10,1292.94,5,1
FUR-BO-10003433,Sauder Cornerstone Collection Library,17,61.96,20,1
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",24,141.372,30,1
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",17,69.576,20,1
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,29,242.352,15,1
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",5,66.294,20,1
FUR-BO-10003893,Sauder Camden County Collection Library,19,586.398,15,1
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",17,120.666,30,1
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,15,246.1328,15,1
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",12,290.666,15,1
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",44,191.984,30,1
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",38,119.833,30,1
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,22,301.47,15,1
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,5,160.98,30,1
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",22,35.49,10,1
FUR-BO-10004467,Bestar Classic Bookcase,36,67.9932,20,1
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,11,384.944,15,1
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,40,289.568,15,1
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",36,46.384,10,1
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",31,1497.666,5,1
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,40,866.4,15,2
FUR-CH-10000155,Global Comet Stacking Armless Chair,17,239.24,15,2
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",33,56.686,20,2
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,12,379.372,15,2
FUR-CH-10000309,Global Comet Stacking Arm Chair,22,887.271,15,2
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,44,90.99,20,2
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",65,170.786,30,2
FUR-CH-10000513,High-Back Leather Manager's Chair,49,181.986,30,2
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",30,33.94,10,2
FUR-CH-10000595,Safco Contoured Stacking Chairs,35,190.72,30,2
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",39,271.764,15,2
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,16,579.136,15,2
FUR-CH-10000785,Global Ergonomic Managers Chair,45,144.784,30,2
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,24,290.98,15,2
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,33,105.686,30,2
FUR-CH-10000988,Hon Olson Stacker Stools,57,112.648,30,2
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",58,60.89,20,2
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,12,217.584,15,2
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,40,701.372,15,2
FUR-CH-10001270,Harbour Creations Steel Folding Chair,42,172.5,30,2
FUR-CH-10001394,Global Leather Executive Chair,28,280.792,15,2
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,26,117.882,30,2
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,24,102.582,30,2
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,38,197.372,30,2
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",16,120.712,30,2
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",34,69.264,20,2
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,12,254.058,15,2
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,37,350.98,15,2
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,22,172.764,30,2
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,28,110.98,30,2
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,15,26.64,10,2
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,50,981.372,15,2
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",9,275.058,15,2
FUR-CH-10002073,Hon Olson Stacker Chairs,29,423.648,15,2
FUR-CH-10002084,Hon Mobius Operator's Chair,30,368.97,15,2
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,18,195.184,30,2
FUR-CH-10002304,"Global Stack Chair without Arms, Black",52,41.568,10,2
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,2,207.184,15,2
FUR-CH-10002320,Hon Pagoda Stacking Chairs,29,256.784,15,2
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,31,569.568,15,2
FUR-CH-10002335,Hon GuestStacker Chair,38,408.006,15,2
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,25,56.686,20,2
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",36,186.304,30,2
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,48,135.882,30,2
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",73,63.882,20,2
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",9,585.552,15,2
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",25,40.784,10,2
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,10,163.764,30,2
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",60,98.392,20,2
FUR-CH-10002961,"Leather Task Chair, Black",25,63.686,20,2
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",43,281.372,15,2
FUR-CH-10003061,"Global Leather Task Chair, Black",25,71.992,20,2
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,26,155.372,30,2
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",44,104.784,30,2
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,31,449.568,15,2
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,40,398.972,15,2
FUR-CH-10003396,Global Deluxe Steno Chair,33,61.584,20,2
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",37,109.764,30,2
FUR-CH-10003606,SAFCO Folding Chair Trolley,8,89.768,20,2
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,28,449.372,15,2
FUR-CH-10003761,Global Italian Leather Office Chair,10,183.372,30,2
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",74,63.686,20,2
FUR-CH-10003817,"Global Value Steno Chair, Gray",56,60.74,20,2
FUR-CH-10003833,Novimex Fabric Task Chair,45,97.568,20,2
